,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,BALI,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
1,BALI,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
2,BALI,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
3,BALI,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
4,BALI,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
5,BALI,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
6,BALI,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
7,BALI,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
8,BALI,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
9,BALI,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
10,BALI,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
11,BALI,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
12,BALI,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
13,BALI,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
14,BALI,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
15,BALI,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
16,BALI,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
17,BALI,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
18,BALI,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
19,BALI,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
20,BALI,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
21,BALI,22-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
22,BALI,23-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
23,BALI,24-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
24,BALI,25-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
25,BALI,26-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
26,BALI,27-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
27,BALI,28-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.850431599999999,115.7114992,114.4315327,Denpasar,-8.652497300000002,115.21911750000001
28,BALI,29-03-2020,1.0,1.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
29,BALI,30-03-2020,9.0,10.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
30,BALI,31-03-2020,0.0,10.0,0.0,0.0,3.0,3.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
31,BALI,01-04-2020,6.0,16.0,0.0,0.0,2.0,5.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
32,BALI,02-04-2020,0.0,16.0,0.0,0.0,0.0,5.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
33,BALI,03-04-2020,3.0,19.0,0.0,0.0,0.0,5.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
34,BALI,04-04-2020,5.0,24.0,0.0,0.0,0.0,5.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
35,BALI,05-04-2020,3.0,27.0,0.0,0.0,8.0,13.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
36,BALI,06-04-2020,7.0,34.0,0.0,0.0,0.0,13.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
37,BALI,07-04-2020,0.0,34.0,0.0,0.0,0.0,13.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
38,BALI,08-04-2020,6.0,40.0,0.0,0.0,0.0,13.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
39,BALI,09-04-2020,14.0,54.0,0.0,0.0,0.0,13.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
