,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,BANTEN,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.499638099999999,-7.4565894,106.78001270000001,104.6513179,Serang,-6.10565025,105.98773335759398
1,BANTEN,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.499638099999999,-7.4565894,106.78001270000001,104.6513179,Serang,-6.10565025,105.98773335759398
2,BANTEN,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.499638099999999,-7.4565894,106.78001270000001,104.6513179,Serang,-6.10565025,105.98773335759398
3,BANTEN,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.499638099999999,-7.4565894,106.78001270000001,104.6513179,Serang,-6.10565025,105.98773335759398
4,BANTEN,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.499638099999999,-7.4565894,106.78001270000001,104.6513179,Serang,-6.10565025,105.98773335759398
5,BANTEN,06-03-2020,1.0,1.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
6,BANTEN,07-03-2020,0.0,1.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
7,BANTEN,08-03-2020,1.0,2.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
8,BANTEN,09-03-2020,0.0,2.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
9,BANTEN,10-03-2020,0.0,2.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
10,BANTEN,11-03-2020,0.0,2.0,0.0,0.0,0.0,0.0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
11,BANTEN,12-03-2020,0.0,2.0,1.0,1.0,0.0,0.0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179,Serang,-6.10565025,105.98773335759398
