,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,JAMBI,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
1,JAMBI,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
2,JAMBI,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
3,JAMBI,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
4,JAMBI,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
5,JAMBI,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
6,JAMBI,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
7,JAMBI,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
8,JAMBI,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
9,JAMBI,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
10,JAMBI,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
11,JAMBI,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
12,JAMBI,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
13,JAMBI,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
14,JAMBI,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
15,JAMBI,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
16,JAMBI,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
17,JAMBI,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
18,JAMBI,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.566.200,50.058,-0.5088815999999999,-2.7822598999999997,105.01220929999998,101.12255859999999,Jambi,-1.611572,102.779699
