,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,SULAWESI_TENGGARA,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
1,SULAWESI_TENGGARA,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
2,SULAWESI_TENGGARA,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
3,SULAWESI_TENGGARA,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
4,SULAWESI_TENGGARA,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
5,SULAWESI_TENGGARA,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
6,SULAWESI_TENGGARA,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
7,SULAWESI_TENGGARA,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
8,SULAWESI_TENGGARA,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,2.663.700,38.068000000000005,-2.7702793999999997,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.51800659999999
9,SULAWESI_TENGGARA,10-03-2020,1.0,1.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
10,SULAWESI_TENGGARA,11-03-2020,0.0,1.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
11,SULAWESI_TENGGARA,12-03-2020,0.0,1.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
12,SULAWESI_TENGGARA,13-03-2020,0.0,1.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
13,SULAWESI_TENGGARA,14-03-2020,0.0,1.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
14,SULAWESI_TENGGARA,15-03-2020,0.0,1.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
15,SULAWESI_TENGGARA,16-03-2020,2.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
16,SULAWESI_TENGGARA,17-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
17,SULAWESI_TENGGARA,18-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
18,SULAWESI_TENGGARA,19-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
19,SULAWESI_TENGGARA,20-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
20,SULAWESI_TENGGARA,21-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
21,SULAWESI_TENGGARA,22-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
22,SULAWESI_TENGGARA,23-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
23,SULAWESI_TENGGARA,24-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
24,SULAWESI_TENGGARA,25-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
25,SULAWESI_TENGGARA,26-03-2020,0.0,3.0,0.0,0.0,0.0,0.0,2.663.700,38.068,-2.7702794,-6.9467061,125.5961913,120.6398645,Kendari,-3.9918068,122.5180066
