,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,BALI,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
1,BALI,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
2,BALI,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
3,BALI,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
4,BALI,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
5,BALI,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
6,BALI,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
7,BALI,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
8,BALI,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
9,BALI,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
10,BALI,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
11,BALI,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
12,BALI,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
13,BALI,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
14,BALI,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
15,BALI,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
16,BALI,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
17,BALI,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
18,BALI,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
19,BALI,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
20,BALI,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
21,BALI,22-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
22,BALI,23-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
23,BALI,24-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
24,BALI,25-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
25,BALI,26-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
26,BALI,27-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
27,BALI,28-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327,Denpasar,-8.6524973,115.2191175
