,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,GORONTALO,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
1,GORONTALO,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
2,GORONTALO,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
3,GORONTALO,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
4,GORONTALO,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
5,GORONTALO,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
6,GORONTALO,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
7,GORONTALO,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
8,GORONTALO,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
9,GORONTALO,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
10,GORONTALO,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
11,GORONTALO,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
12,GORONTALO,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
13,GORONTALO,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
14,GORONTALO,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
15,GORONTALO,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
16,GORONTALO,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
17,GORONTALO,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
18,GORONTALO,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
19,GORONTALO,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
20,GORONTALO,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
21,GORONTALO,22-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
22,GORONTALO,23-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
23,GORONTALO,24-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
24,GORONTALO,25-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
25,GORONTALO,26-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.176.400,11.257,1.3647141,-0.0665628,123.5519226,121.1559965,Gorontalo,0.7186174,122.4555927
