,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,LAMPUNG,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
1,LAMPUNG,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
2,LAMPUNG,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
3,LAMPUNG,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
4,LAMPUNG,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
5,LAMPUNG,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
6,LAMPUNG,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
7,LAMPUNG,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
8,LAMPUNG,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
9,LAMPUNG,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
10,LAMPUNG,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
11,LAMPUNG,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
12,LAMPUNG,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
13,LAMPUNG,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
14,LAMPUNG,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
15,LAMPUNG,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
16,LAMPUNG,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
17,LAMPUNG,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
18,LAMPUNG,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
19,LAMPUNG,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
20,LAMPUNG,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
21,LAMPUNG,22-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
22,LAMPUNG,23-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
23,LAMPUNG,24-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
24,LAMPUNG,25-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,8.457.600,34.624,-3.7237393,-6.4550344,106.8466516,103.5068774,Bandar Lampung,-5.4460713,105.2643742
