,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,MALUKU,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
1,MALUKU,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
2,MALUKU,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
3,MALUKU,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
4,MALUKU,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
5,MALUKU,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
6,MALUKU,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
7,MALUKU,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
8,MALUKU,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
9,MALUKU,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
10,MALUKU,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
11,MALUKU,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
12,MALUKU,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
13,MALUKU,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
14,MALUKU,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
15,MALUKU,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
16,MALUKU,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
17,MALUKU,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
18,MALUKU,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
19,MALUKU,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
20,MALUKU,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.768.500,46.914,-2.2664176,-8.5496596,135.2282853,124.9518369,Ambon,47.5542438,-2.5566945
