,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,PAPUA,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
1,PAPUA,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
2,PAPUA,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
3,PAPUA,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
4,PAPUA,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
5,PAPUA,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
6,PAPUA,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
7,PAPUA,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
8,PAPUA,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
9,PAPUA,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
10,PAPUA,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
11,PAPUA,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
12,PAPUA,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
13,PAPUA,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
14,PAPUA,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
15,PAPUA,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
16,PAPUA,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
17,PAPUA,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
18,PAPUA,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
19,PAPUA,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
20,PAPUA,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,3.347.100,319.036,1.1369057,-9.3833333,141.0200345,133.5217666,Jayapura,-2.5387539,140.7037389
