,province,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative),population,area ($km^2$),north border (latitude),south border (latitude),east border (longitude),west border (longitude),capital,capital coordinate (latitude),capital coordinate (longitude)
0,RIAU,01-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
1,RIAU,02-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
2,RIAU,03-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
3,RIAU,04-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
4,RIAU,05-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
5,RIAU,06-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
6,RIAU,07-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
7,RIAU,08-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
8,RIAU,09-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
9,RIAU,10-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
10,RIAU,11-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
11,RIAU,12-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
12,RIAU,13-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
13,RIAU,14-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
14,RIAU,15-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
15,RIAU,16-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
16,RIAU,17-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
17,RIAU,18-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
18,RIAU,19-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
19,RIAU,20-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
20,RIAU,21-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
21,RIAU,22-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
22,RIAU,23-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
23,RIAU,24-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
24,RIAU,25-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
25,RIAU,26-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
26,RIAU,27-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
27,RIAU,28-03-2020,0.0,0.0,0.0,0.0,0.0,0.0,6.835.100,87.024,3.0028667,-1.1204131,103.9803969,100.0248488,Pekanbaru,0.5262455,101.4515727
