,index,province,date,case,death,recovered,population,area (km^2),north border (latitude),south border (latitude),east border (longitude),west border (longitude)
0,0,ACEH,26-03-2020,1,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
1,1,ACEH,27-03-2020,3,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
2,2,ACEH,28-03-2020,1,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
3,3,ACEH,29-03-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
4,4,ACEH,30-03-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
5,5,ACEH,31-03-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
6,6,ACEH,1/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
7,7,ACEH,2/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
8,8,ACEH,3/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
9,9,ACEH,4/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
10,10,ACEH,5/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
11,11,ACEH,6/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
12,12,ACEH,7/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
13,13,ACEH,8/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
14,14,ACEH,9/4/2020,0,0,1,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
15,15,ACEH,10/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
16,16,ACEH,11/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
17,17,ACEH,12/4/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
18,18,ACEH,13-04-2020,0,0,2,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
19,19,ACEH,14-04-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
20,20,ACEH,15-04-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
