,date,confirmed,confirmed (cumulative),deaths,deaths (cumulative),recovered,recovered (cumulative)
0,01-03-2020,6.0,6.0,0.0,0.0,0.0,0.0
1,02-03-2020,2.0,8.0,0.0,0.0,0.0,0.0
2,03-03-2020,3.0,11.0,1.0,1.0,0.0,0.0
3,04-03-2020,3.0,14.0,0.0,1.0,0.0,0.0
4,05-03-2020,0.0,14.0,1.0,2.0,0.0,0.0
5,06-03-2020,2.0,16.0,0.0,2.0,0.0,0.0
6,07-03-2020,0.0,16.0,2.0,4.0,0.0,0.0
7,08-03-2020,1.0,17.0,0.0,4.0,0.0,0.0
8,09-03-2020,0.0,17.0,1.0,5.0,0.0,0.0
9,10-03-2020,1.0,18.0,0.0,5.0,0.0,0.0
10,11-03-2020,1.0,19.0,1.0,6.0,0.0,0.0
11,12-03-2020,1.0,20.0,2.0,8.0,4.0,4.0
12,13-03-2020,5.0,25.0,1.0,9.0,7.0,11.0
13,14-03-2020,5.0,30.0,1.0,10.0,1.0,12.0
14,15-03-2020,9.0,39.0,3.0,13.0,0.0,12.0
15,16-03-2020,6.0,45.0,3.0,16.0,0.0,12.0
16,17-03-2020,14.0,59.0,3.0,19.0,0.0,12.0
17,18-03-2020,8.0,67.0,3.0,22.0,1.0,13.0
18,19-03-2020,10.0,77.0,2.0,24.0,2.0,15.0
19,20-03-2020,19.0,96.0,6.0,30.0,2.0,17.0
20,21-03-2020,6.0,102.0,4.0,34.0,6.0,23.0
21,22-03-2020,6.0,108.0,3.0,37.0,3.0,26.0
22,23-03-2020,13.0,121.0,4.0,41.0,0.0,26.0
23,24-03-2020,4.0,125.0,22.0,63.0,5.0,31.0
24,25-03-2020,31.0,156.0,5.0,68.0,2.0,33.0
25,26-03-2020,101.0,257.0,2.0,70.0,4.0,37.0
26,27-03-2020,142.0,399.0,12.0,82.0,6.0,43.0
27,28-03-2020,112.0,511.0,12.0,94.0,13.0,56.0
28,29-03-2020,127.0,638.0,19.0,113.0,3.0,59.0
29,30-03-2020,130.0,768.0,14.0,127.0,4.0,63.0
30,31-03-2020,106.0,874.0,28.0,155.0,6.0,69.0
31,01-04-2020,146.0,1020.0,9.0,164.0,29.0,98.0
32,02-04-2020,108.0,1128.0,19.0,183.0,13.0,111.0
33,03-04-2020,185.0,1313.0,14.0,197.0,8.0,119.0
34,04-04-2020,108.0,1421.0,18.0,215.0,24.0,143.0
35,05-04-2020,164.0,1585.0,17.0,232.0,22.0,165.0
36,06-04-2020,224.0,1809.0,14.0,246.0,21.0,186.0
37,07-04-2020,216.0,2025.0,19.0,265.0,14.0,200.0
38,08-04-2020,206.0,2231.0,22.0,287.0,15.0,215.0
39,09-04-2020,330.0,2561.0,47.0,334.0,33.0,248.0
40,10-04-2020,218.0,2779.0,22.0,356.0,35.0,283.0
41,11-04-2020,327.0,3106.0,31.0,387.0,17.0,300.0
42,12-04-2020,432.0,3538.0,38.0,425.0,52.0,352.0
43,13-04-2020,308.0,3846.0,24.0,449.0,20.0,372.0
44,14-04-2020,281.0,4127.0,32.0,481.0,23.0,395.0
45,15-04-2020,293.0,4420.0,23.0,504.0,57.0,452.0
46,16-04-2020,372.0,4792.0,15.0,519.0,41.0,493.0
47,17-04-2020,397.0,5189.0,22.0,541.0,90.0,583.0
48,18-04-2020,320.0,5509.0,16.0,557.0,26.0,609.0
49,19-04-2020,315.0,5824.0,14.0,571.0,54.0,663.0
50,20-04-2020,177.0,6001.0,18.0,589.0,56.0,719.0
51,21-04-2020,375.0,6376.0,14.0,603.0,96.0,815.0
52,22-04-2020,275.0,6651.0,7.0,610.0,53.0,868.0
53,23-04-2020,353.0,7004.0,9.0,619.0,53.0,921.0
54,24-04-2020,431.0,7435.0,17.0,636.0,39.0,960.0
55,25-04-2020,388.0,7823.0,30.0,666.0,65.0,1025.0
56,26-04-2020,273.0,8096.0,20.0,686.0,46.0,1071.0
57,27-04-2020,209.0,8305.0,20.0,706.0,52.0,1123.0
58,28-04-2020,409.0,8714.0,12.0,718.0,95.0,1218.0
